"RB","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"39","95","Matt Breida","","","39","","","41","","38.6"
"40","99","Zack Moss","CIN","9 ","38","","","36","","39.2"
"41","110","Sony Michel","","","46","","","40","","41.2"
"42","108","Latavius Murray","","","43","","","38","","41.2"
"43","111","Tevin Coleman","","","41","","","43","","43.0"
"44","118","Alexander Mattison","LV","6","44","","","47","","44.0"
"45","126","Duke Johnson Jr.","","","45","","","49","","47.6"
"46","131","Boston Scott","LAR","9","50","","","46","","47.6"
"47","124","Darrell Henderson Jr.","","","40","","","54","","47.8"
"48","138","Chase Edmonds","TB","13","49","","","48","","48.4"
"49","133","Tony Pollard","TEN","4","47","","","50","","48.6"
"50","145","Nyheim Hines","CLE","9","51","","","51","","52.2"
"51","149","Ryquell Armstead ","","","55","","","42","","53.2"
"52","167","AJ Dillon","GB","5","59","","","58","","53.6"
"53","166","Adrian Peterson","","","54","","","65","","54.0"
"54","165","Justin Jackson","","","53","","","56","","54.6"
"55","168","Damien Harris","","","52","","","55","","55.6"
"56","171","Chris Thompson","","","48","","","45","","56.8"
"57","196","Ke'Shawn Vaughn","","","","","","73","","52.8"
"58","172","Darrel Williams","","","57","","","53","","56.3"
